id,title,slug,cluster,clusterSlug,intent,audience,location,device,priority,keyword,canonical,publishedAt,reviewedBy,safetyReview,legalReview,sourceCount,status
"kochi-guides-01","How to Dispose of E-Waste Responsibly in Kochi","how-to-dispose-of-e-waste-responsibly-in-kochi","Kochi Local Guides","kochi-guides","transactional","households|small businesses","Kochi","mixed electronics","1","How to Dispose of E-Waste Responsibly in Kochi","https://blog.ewastekochi.com/kochi-guides/how-to-dispose-of-e-waste-responsibly-in-kochi/","2026-07-01","EWaste Kochi Editorial Desk","false","false","2","publishable-after-editorial-review"
"kochi-guides-02","How to Dispose of E-Waste Responsibly in Kakkanad","how-to-dispose-of-e-waste-responsibly-in-kakkanad","Kochi Local Guides","kochi-guides","transactional","households|small businesses","Kakkanad","mixed electronics","1","How to Dispose of E-Waste Responsibly in Kakkanad","https://blog.ewastekochi.com/kochi-guides/how-to-dispose-of-e-waste-responsibly-in-kakkanad/","2026-07-02","EWaste Kochi Editorial Desk","false","false","2","publishable-after-editorial-review"
"kochi-guides-03","How to Dispose of E-Waste Responsibly in Edappally","how-to-dispose-of-e-waste-responsibly-in-edappally","Kochi Local Guides","kochi-guides","transactional","households|small businesses","Edappally","mixed electronics","1","How to Dispose of E-Waste Responsibly in Edappally","https://blog.ewastekochi.com/kochi-guides/how-to-dispose-of-e-waste-responsibly-in-edappally/","2026-07-03","EWaste Kochi Editorial Desk","false","false","2","publishable-after-editorial-review"
"kochi-guides-04","How to Dispose of E-Waste Responsibly in Vyttila","how-to-dispose-of-e-waste-responsibly-in-vyttila","Kochi Local Guides","kochi-guides","transactional","households|small businesses","Vyttila","mixed electronics","2","How to Dispose of E-Waste Responsibly in Vyttila","https://blog.ewastekochi.com/kochi-guides/how-to-dispose-of-e-waste-responsibly-in-vyttila/","2026-07-04","EWaste Kochi Editorial Desk","false","false","2","publishable-after-editorial-review"
"kochi-guides-05","How to Dispose of E-Waste Responsibly in Thrippunithura","how-to-dispose-of-e-waste-responsibly-in-thrippunithura","Kochi Local Guides","kochi-guides","transactional","households|small businesses","Thrippunithura","mixed electronics","2","How to Dispose of E-Waste Responsibly in Thrippunithura","https://blog.ewastekochi.com/kochi-guides/how-to-dispose-of-e-waste-responsibly-in-thrippunithura/","2026-07-05","EWaste Kochi Editorial Desk","false","false","2","publishable-after-editorial-review"
"kochi-guides-06","How to Dispose of E-Waste Responsibly in Aluva","how-to-dispose-of-e-waste-responsibly-in-aluva","Kochi Local Guides","kochi-guides","transactional","households|small businesses","Aluva","mixed electronics","2","How to Dispose of E-Waste Responsibly in Aluva","https://blog.ewastekochi.com/kochi-guides/how-to-dispose-of-e-waste-responsibly-in-aluva/","2026-07-06","EWaste Kochi Editorial Desk","false","false","2","publishable-after-editorial-review"
"kochi-guides-07","How to Dispose of E-Waste Responsibly in Kalamassery","how-to-dispose-of-e-waste-responsibly-in-kalamassery","Kochi Local Guides","kochi-guides","transactional","households|small businesses","Kalamassery","mixed electronics","2","How to Dispose of E-Waste Responsibly in Kalamassery","https://blog.ewastekochi.com/kochi-guides/how-to-dispose-of-e-waste-responsibly-in-kalamassery/","2026-07-07","EWaste Kochi Editorial Desk","false","false","2","publishable-after-editorial-review"
"kochi-guides-08","How to Dispose of E-Waste Responsibly in Fort Kochi","how-to-dispose-of-e-waste-responsibly-in-fort-kochi","Kochi Local Guides","kochi-guides","transactional","households|small businesses","Fort Kochi","mixed electronics","3","How to Dispose of E-Waste Responsibly in Fort Kochi","https://blog.ewastekochi.com/kochi-guides/how-to-dispose-of-e-waste-responsibly-in-fort-kochi/","2026-07-08","EWaste Kochi Editorial Desk","false","false","2","publishable-after-editorial-review"
"kochi-guides-09","How to Dispose of E-Waste Responsibly in Maradu","how-to-dispose-of-e-waste-responsibly-in-maradu","Kochi Local Guides","kochi-guides","transactional","households|small businesses","Maradu","mixed electronics","3","How to Dispose of E-Waste Responsibly in Maradu","https://blog.ewastekochi.com/kochi-guides/how-to-dispose-of-e-waste-responsibly-in-maradu/","2026-07-09","EWaste Kochi Editorial Desk","false","false","2","publishable-after-editorial-review"
"kochi-guides-10","How to Dispose of E-Waste Responsibly in Ernakulam","how-to-dispose-of-e-waste-responsibly-in-ernakulam","Kochi Local Guides","kochi-guides","transactional","households|small businesses","Ernakulam","mixed electronics","3","How to Dispose of E-Waste Responsibly in Ernakulam","https://blog.ewastekochi.com/kochi-guides/how-to-dispose-of-e-waste-responsibly-in-ernakulam/","2026-07-10","EWaste Kochi Editorial Desk","false","false","2","publishable-after-editorial-review"
