tier,url,status,finalUrl,canonical,noindex,ok,reason,sourceFiles,issue,recommendation
P1,https://www.ewastekochi.com/,200,https://www.ewastekochi.com/,https://www.ewastekochi.com/,false,true,route registry changed; priority URL queued; page source changed,src/data/routes.ts; src/pages/index.astro,,"After production deployment, inspect live URL in GSC and request indexing if the content update is important."
P1,https://www.ewastekochi.com/battery-recycling/,200,https://www.ewastekochi.com/battery-recycling/,https://www.ewastekochi.com/battery-recycling/,false,true,route registry changed; priority URL queued,src/data/routes.ts,,"After production deployment, inspect live URL in GSC and request indexing if the content update is important."
P1,https://www.ewastekochi.com/contact/,200,https://www.ewastekochi.com/contact/,https://www.ewastekochi.com/contact/,false,true,route registry changed; priority URL queued,src/data/routes.ts,,"After production deployment, inspect live URL in GSC and request indexing if the content update is important."
P1,https://www.ewastekochi.com/e-waste/,200,https://www.ewastekochi.com/e-waste/,https://www.ewastekochi.com/e-waste/,false,true,route registry changed; priority URL queued,src/data/routes.ts,,"After production deployment, inspect live URL in GSC and request indexing if the content update is important."
P1,https://www.ewastekochi.com/marketplace/,200,https://www.ewastekochi.com/marketplace/,https://www.ewastekochi.com/marketplace/,false,true,route registry changed; priority URL queued,src/data/routes.ts,,"After production deployment, inspect live URL in GSC and request indexing if the content update is important."
P1,https://www.ewastekochi.com/pickup/,200,https://www.ewastekochi.com/pickup/,https://www.ewastekochi.com/pickup/,false,true,route registry changed; priority URL queued,src/data/routes.ts,,"After production deployment, inspect live URL in GSC and request indexing if the content update is important."
P1,https://www.ewastekochi.com/recycling/,200,https://www.ewastekochi.com/recycling/,https://www.ewastekochi.com/recycling/,false,true,route registry changed; priority URL queued,src/data/routes.ts,,"After production deployment, inspect live URL in GSC and request indexing if the content update is important."
P1,https://www.ewastekochi.com/sell-electronics/,200,https://www.ewastekochi.com/sell-electronics/,https://www.ewastekochi.com/sell-electronics/,false,true,route registry changed; priority URL queued,src/data/routes.ts,,"After production deployment, inspect live URL in GSC and request indexing if the content update is important."
P1,https://www.ewastekochi.com/services/air-conditioner-recycling-kochi/,200,https://www.ewastekochi.com/services/air-conditioner-recycling-kochi/,https://www.ewastekochi.com/services/air-conditioner-recycling-kochi/,false,true,route registry changed; priority URL queued,src/data/routes.ts,,"After production deployment, inspect live URL in GSC and request indexing if the content update is important."
P1,https://www.ewastekochi.com/services/computer-recycling-near-me/,200,https://www.ewastekochi.com/services/computer-recycling-near-me/,https://www.ewastekochi.com/services/computer-recycling-near-me/,false,true,route registry changed; priority URL queued,src/data/routes.ts,,"After production deployment, inspect live URL in GSC and request indexing if the content update is important."
P1,https://www.ewastekochi.com/services/electronics-recycling-near-me/,200,https://www.ewastekochi.com/services/electronics-recycling-near-me/,https://www.ewastekochi.com/services/electronics-recycling-near-me/,false,true,route registry changed; priority URL queued,src/data/routes.ts,,"After production deployment, inspect live URL in GSC and request indexing if the content update is important."
P2,https://www.ewastekochi.com/locations/aluva/,200,https://www.ewastekochi.com/locations/aluva/,https://www.ewastekochi.com/locations/aluva/,false,true,route registry changed; priority URL queued,src/data/routes.ts,,"After production deployment, inspect live URL in GSC and request indexing if the content update is important."
